sslc,plustwo,sleep hour,studyhour,interest of btech studies?,Assignment submission,Exam fear,PCM Mark,insta reels,Gender,Relationship,self learner,frequent sickness,Extracurricularactivity,studypreparation,Pass,programming
9,8,5,6,1,2,0,5,1,1,1,1,0,1,2,1,1
9,8,5,6,1,3,0,8,0,1,1,1,0,1,2,1,1
9,5,5,2,1,2,1,5,0,0,1,1,0,1,2,0,1
7,7,4,4,1,2,1,6,5,0,1,0,0,0,3,1,1
1,2,3,1,0,2,1,1,0,1,0,0,1,1,1,0,0
6,4,4,3,1,1,0,4,1,1,1,1,0,1,2,1,1
9,9,4,4,1,2,1,9,0,1,1,1,0,0,1,1,1
8,8,4,3,1,2,0,8,3,1,1,1,0,1,2,1,1
9,8,4,2,0,2,1,8,4,0,1,1,1,0,1,0,1
7,8,5,6,1,2,0,7,1,1,1,1,0,1,2,0,1
9,7,5,6,1,2,1,7,1,0,1,1,0,0,1,1,1
7,8,5,4,1,3,0,8,3,1,1,1,0,1,1,1,1
8,9,5,6,1,2,0,9,0,1,1,1,0,0,1,1,1
5,4,4,4,1,2,0,2,3,1,1,1,0,0,1,0,1
9,9,4,1,1,3,0,9,3,1,1,0,0,1,2,0,1
6,7,6,4,1,2,0,7,3,1,1,1,1,1,2,0,1
8,7,5,2,1,2,1,8,4,1,1,1,0,0,1,1,1
9,7,4,6,1,2,1,8,0,0,1,1,0,0,2,0,1
9,8,4,0,1,2,0,8,2,1,1,1,0,1,1,1,1
9,8,5,2,1,2,1,7,1,0,1,1,0,1,1,1,1
5,5,4,4,1,2,1,4,1,1,1,1,0,0,2,0,1
7,8,5,1,1,2,1,7,0,1,1,1,0,0,2,0,1
7,8,4,6,1,3,0,9,0,1,1,1,0,0,2,1,1
9,7,6,6,1,2,0,7,0,1,1,0,0,0,2,0,1
9,8,4,6,1,2,1,9,3,1,1,1,0,0,2,1,1
8,8,4,6,1,2,0,9,4,1,1,0,0,0,1,1,1
8,9,4,4,1,3,0,9,2,1,1,1,0,1,3,1,1
8,7,6,2,1,2,0,8,2,0,1,1,0,0,1,1,1
5,5,4,2,1,3,0,5,0,1,1,1,0,1,2,0,1
6,5,5,2,1,2,1,5,1,1,1,1,0,1,1,1,1
5,8,5,4,1,3,0,7,1,1,1,1,0,0,3,1,1
6,9,4,6,1,2,1,9,1,0,1,1,0,1,3,1,1
9,9,5,6,1,2,0,9,1,0,1,1,0,1,2,0,1
9,8,4,6,1,3,0,9,1,1,1,1,1,1,3,1,1
7,6,5,2,1,2,0,6,1,1,0,1,0,0,2,0,1
9,7,4,4,1,2,0,9,4,1,1,1,0,0,2,1,1
6,7,5,6,1,2,0,9,4,0,1,1,0,1,2,1,1
8,9,3,2,1,2,1,9,1,0,1,1,0,1,1,1,1